44/1667 correctness_ratio: 2/5 true_positive_ratio: 2/6 total_correct_ratio: 78/166 = 46.987951807% 0_Parade_marchingband_1_746.jpg
45/1667 correctness_ratio: 0/1 true_positive_ratio: 0/2 total_correct_ratio: 78/167 = 46.706586826% 0_Parade_Parade_0_461.jpg
46/1667 correctness_ratio: 1/1 true_positive_ratio: 1/3 total_correct_ratio: 79/168 = 47.023809524% 0_Parade_Parade_0_757.jpg
47/1667 correctness_ratio: 10/12 true_positive_ratio: 10/18 total_correct_ratio: 89/180 = 49.444444444% 0_Parade_marchingband_1_759.jpg
48/1667 correctness_ratio: 2/2 true_positive_ratio: 2/5 total_correct_ratio: 91/182 = 50.000000000% 0_Parade_Parade_0_53.jpg
49/1667 correctness_ratio: 14/16 true_positive_ratio: 14/28 total_correct_ratio: 105/198 = 53.030303030% 0_Parade_marchingband_1_649.jpg
50/1667 correctness_ratio: 8/24 true_positive_ratio: 8/15 total_correct_ratio: 113/222 = 50.900900901% 0_Parade_Parade_0_490.jpg
51/1667 correctness_ratio: 2/6 true_positive_ratio: 2/6 total_correct_ratio: 115/228 = 50.438596491% 0_Parade_Parade_0_519.jpg
52/1667 correctness_ratio: 2/5 true_positive_ratio: 2/3 total_correct_ratio: 117/233 = 50.214592275% 0_Parade_Parade_0_465.jpg
53/1667 correctness_ratio: 0/2 true_positive_ratio: 0/2 total_correct_ratio: 117/235 = 49.787234043% 0_Parade_marchingband_1_768.jpg
54/1667 correctness_ratio: 1/3 true_positive_ratio: 1/3 total_correct_ratio: 118/238 = 49.579831933% 0_Parade_Parade_0_502.jpg
55/1667 correctness_ratio: 5/5 true_positive_ratio: 5/7 total_correct_ratio: 123/243 = 50.617283951% 0_Parade_Parade_0_364.jpg
56/1667 correctness_ratio: 0/2 true_positive_ratio: 0/2 total_correct_ratio: 123/245 = 50.204081633% 0_Parade_marchingband_1_147.jpg
57/1667 correctness_ratio: 1/1 true_positive_ratio: 1/3 total_correct_ratio: 124/246 = 50.406504065% 0_Parade_marchingband_1_104.jpg
58/1667 correctness_ratio: 0/2 true_positive_ratio: 0/1 total_correct_ratio: 124/248 = 50.000000000% 0_Parade_marchingband_1_932.jpg
59/1667 correctness_ratio: 1/1 true_positive_ratio: 1/3 total_correct_ratio: 125/249 = 50.200803213% 1_Handshaking_Handshaking_1_134.jpg
60/1667 correctness_ratio: 0/1 true_positive_ratio: 0/1 total_correct_ratio: 125/250 = 50.000000000% 1_Handshaking_Handshaking_1_362.jpg
61/1667 correctness_ratio: 1/1 true_positive_ratio: 1/7 total_correct_ratio: 126/251 = 50.199203187% 1_Handshaking_Handshaking_1_522.jpg
62/1667 correctness_ratio: 0/1 true_positive_ratio: 0/7 total_correct_ratio: 126/252 = 50.000000000% 1_Handshaking_Handshaking_1_453.jpg
63/1667 correctness_ratio: 1/1 true_positive_ratio: 1/9 total_correct_ratio: 127/253 = 50.197628458% 1_Handshaking_Handshaking_1_314.jpg
64/1667 correctness_ratio: 5/5 true_positive_ratio: 5/7 total_correct_ratio: 132/258 = 51.162790698% 1_Handshaking_Handshaking_1_343.jpg
65/1667 correctness_ratio: 1/3 true_positive_ratio: 1/1 total_correct_ratio: 133/261 = 50.957854406% 1_Handshaking_Handshaking_1_733.jpg
66/1667 correctness_ratio: 4/6 true_positive_ratio: 4/8 total_correct_ratio: 137/267 = 51.310861423% 1_Handshaking_Handshaking_1_801.jpg
67/1667 correctness_ratio: 0/1 true_positive_ratio: 0/1 total_correct_ratio: 137/268 = 51.119402985% 1_Handshaking_Handshaking_1_465.jpg
