44/1667 correctness_ratio: 4/5 true_positive_ratio: 4/8 total_correct_ratio: 90/166 = 54.216867470% 0_Parade_marchingband_1_746.jpg
45/1667 correctness_ratio: 0/1 true_positive_ratio: 0/0 total_correct_ratio: 90/167 = 53.892215569% 0_Parade_Parade_0_461.jpg
46/1667 correctness_ratio: 1/1 true_positive_ratio: 1/1 total_correct_ratio: 91/168 = 54.166666667% 0_Parade_Parade_0_757.jpg
47/1667 correctness_ratio: 10/12 true_positive_ratio: 10/11 total_correct_ratio: 101/180 = 56.111111111% 0_Parade_marchingband_1_759.jpg
48/1667 correctness_ratio: 2/2 true_positive_ratio: 2/3 total_correct_ratio: 103/182 = 56.593406593% 0_Parade_Parade_0_53.jpg
49/1667 correctness_ratio: 15/16 true_positive_ratio: 15/23 total_correct_ratio: 118/198 = 59.595959596% 0_Parade_marchingband_1_649.jpg
50/1667 correctness_ratio: 7/24 true_positive_ratio: 7/7 total_correct_ratio: 125/222 = 56.306306306% 0_Parade_Parade_0_490.jpg
51/1667 correctness_ratio: 1/6 true_positive_ratio: 1/1 total_correct_ratio: 126/228 = 55.263157895% 0_Parade_Parade_0_519.jpg
52/1667 correctness_ratio: 2/5 true_positive_ratio: 2/2 total_correct_ratio: 128/233 = 54.935622318% 0_Parade_Parade_0_465.jpg
53/1667 correctness_ratio: 0/2 true_positive_ratio: 0/0 total_correct_ratio: 128/235 = 54.468085106% 0_Parade_marchingband_1_768.jpg
54/1667 correctness_ratio: 1/3 true_positive_ratio: 1/1 total_correct_ratio: 129/238 = 54.201680672% 0_Parade_Parade_0_502.jpg
55/1667 correctness_ratio: 5/5 true_positive_ratio: 5/5 total_correct_ratio: 134/243 = 55.144032922% 0_Parade_Parade_0_364.jpg
56/1667 correctness_ratio: 0/2 true_positive_ratio: 0/0 total_correct_ratio: 134/245 = 54.693877551% 0_Parade_marchingband_1_147.jpg
57/1667 correctness_ratio: 0/1 true_positive_ratio: 0/0 total_correct_ratio: 134/246 = 54.471544715% 0_Parade_marchingband_1_104.jpg
58/1667 correctness_ratio: 1/2 true_positive_ratio: 1/1 total_correct_ratio: 135/248 = 54.435483871% 0_Parade_marchingband_1_932.jpg
59/1667 correctness_ratio: 1/1 true_positive_ratio: 1/3 total_correct_ratio: 136/249 = 54.618473896% 1_Handshaking_Handshaking_1_134.jpg
60/1667 correctness_ratio: 1/1 true_positive_ratio: 1/1 total_correct_ratio: 137/250 = 54.800000000% 1_Handshaking_Handshaking_1_362.jpg
61/1667 correctness_ratio: 0/1 true_positive_ratio: 0/1 total_correct_ratio: 137/251 = 54.581673307% 1_Handshaking_Handshaking_1_522.jpg
62/1667 correctness_ratio: 0/1 true_positive_ratio: 0/0 total_correct_ratio: 137/252 = 54.365079365% 1_Handshaking_Handshaking_1_453.jpg
63/1667 correctness_ratio: 0/1 true_positive_ratio: 0/1 total_correct_ratio: 137/253 = 54.150197628% 1_Handshaking_Handshaking_1_314.jpg
64/1667 correctness_ratio: 5/5 true_positive_ratio: 5/6 total_correct_ratio: 142/258 = 55.038759690% 1_Handshaking_Handshaking_1_343.jpg
65/1667 correctness_ratio: 2/3 true_positive_ratio: 2/2 total_correct_ratio: 144/261 = 55.172413793% 1_Handshaking_Handshaking_1_733.jpg
66/1667 correctness_ratio: 5/6 true_positive_ratio: 5/5 total_correct_ratio: 149/267 = 55.805243446% 1_Handshaking_Handshaking_1_801.jpg
67/1667 correctness_ratio: 0/1 true_positive_ratio: 0/0 total_correct_ratio: 149/268 = 55.597014925% 1_Handshaking_Handshaking_1_465.jpg
68/1667 correctness_ratio: 0/1 true_positive_ratio: 0/0 total_correct_ratio: 149/269 = 55.390334572% 1_Handshaking_Handshaking_1_380.jpg
69/1667 correctness_ratio: 2/2 true_positive_ratio: 2/2 total_correct_ratio: 151/271 = 55.719557196% 1_Handshaking_Handshaking_1_357.jpg
70/1667 correctness_ratio: 1/3 true_positive_ratio: 1/2 total_correct_ratio: 152/274 = 55.474452555% 1_Handshaking_Handshaking_1_236.jpg
71/1667 correctness_ratio: 1/3 true_positive_ratio: 1/1 total_correct_ratio: 153/277 = 55.234657040% 1_Handshaking_Handshaking_1_827.jpg
72/1667 correctness_ratio: 2/2 true_positive_ratio: 2/2 total_correct_ratio: 155/279 = 55.555555556% 1_Handshaking_Handshaking_1_411.jpg
